Suisse allemande-Comédie/Famille-Homme-2003;1;Swapped;Pierre Monnard ;NA;2003;Meilleur court métrage
Suisse allemande-Docu/Musique-Homme-2008;1;Heimatklänge;Stefan Schwietert;NA;2008;Meilleur Documentaire
Suisse allemande-Drame/Famille-Homme-2008;2;Der Freund;Micha Lewinsky;NA;2008;Meilleur film de fiction
Suisse allemande-Drame/Famille-Homme-2005;1;Tout un hiver sans feu;Greg Zglinski;NA;2005;Meilleur film de fiction
Suisse romande-Animation-Homme-2002;1;La jeune fille et les nuages;Georges Schwizgebel ;NA;2002;Meilleur court métrage
Suisse allemande-Drame/Amour-Femme-2001;1;L’Amour, l’argent, l’Amour;Philipp Gröning;Sabine Timoteo;2001;Meilleure interprétation féminine
Suisse romande-Drame/Famille-Femme-2011;2;La petite chambre;Stéphanie Chuat, Véronique Reymond;NA;2011;Meilleur film de fiction
Tessin-Comédie/Amour-Homme-2001;1;Pane e tulipani;Bruno Ganz;Silvio Soldini;2001;Meilleure interprétation masculine
Suisse romande-Docu/Migration-Femme-1998;1;Journal de Rivesaltes 1941-1942 ;Jaqueline Veuve ;NA;1998;Meilleur Documentaire
Suisse allemande-Comédie/Société-Homme-2007;1;Feierabend;Alex E. Kleinberger ;NA;2007;Meilleur court métrage
Suisse allemande-Docu/Nature-Homme-2010;1;The Sound Of Insects – Record Of A Mummy;Peter Liechti;Norbert Möslang;2010;Meilleure Musique de film
Suisse allemande-Comédie/Famille-Femme-2002;1;Lieber Brad ;Lutz Konermann (ex aequo) ;Andrea Guyer, Carol Schuler ;2002;Meilleure interprétation féminine
Suisse allemande-Drame/historique-Homme-2012;1;Der Verdingbub ;Markus Imboden ;Max Hubacher ;2012;Meilleure interprétation masculine
Suisse allemande-Drame/Migration-Homme-2013;1;Einspruch VI;Rolando Colla ;NA;2013;Meilleur court métrage
Suisse romande-Drame/Famille-Homme-2003;1;On dirait le sud;Vincent Pluss;NA;2003;Meilleur film de fiction
Suisse allemande-Drame/Histoire-Homme-2012;1;Der Verdingbub ;Markus Imboden ;Stefan Kurt ;2012;Meilleur second rôle
